200,3.836344477499448
196,2.9443709007325167
200,5.778647378277575
71,1.5255319718783868
94,2.3829958977392365
200,4.954811485365719
186,4.570508960612502
44,2.1650804739200598
178,6.942733319296416
44,1.3634874998787012
156,7.317983263122475
197,8.354221420051859
200,6.920697743452846
184,3.965092608350992
57,1.4087301546644357
76,1.3442087392879978
200,4.4168625938097135
200,10.427920070382894
144,3.382196471888581
140,3.2416907007108597
108,2.6142131858386675
154,6.241285689468527
142,5.069442391963071
200,6.80278517544735
193,5.700393603914474
89,3.2529928442294347
91,2.8859872539346028
197,8.270225182624882
160,2.8881901709126137
200,9.98970397220692
182,8.270802973151216
100,3.2432225950606757
114,3.4627416482751348
157,5.4548178973745385
200,4.162638294384789
200,6.091026045033451
111,3.1578751997048893
121,4.463735421814991
44,1.7524536892010747
156,4.9016818280949215
200,9.955170047392635
142,7.778618233016274
191,7.056513732532393
189,4.15678595829093
200,7.930517318791027
140,4.755193553727656
99,3.460568001867477
137,5.61441338611359
168,8.997739338817322
162,8.197419040807471
